Имя файла 	 Обнаружено дефектов 	 Общая площадь дефектов,кв.см. 	 Средняя площадь дефекта,кв.см. 	Общая длина дефектов	 Настройки HSV нижние - HSV верхние 
Sludyanka_15-08-23_Uch6_01.txt	26	9.51	0.37	35.35	 101 0 0 155 200 235
Номер дефекта	Длина	Ширина	Площадь
18	0.93	0.93	0.18
20	1.05	0.93	0.17
22	0.70	0.47	0.06
23	0.70	0.47	0.05
24	0.93	0.58	0.06
25	0.70	1.05	0.22
26	0.93	0.70	0.05
27	3.49	1.16	1.03
28	1.05	0.70	0.04
29	0.93	0.58	0.18
30	0.81	0.81	0.09
31	1.86	0.93	0.61
32	0.81	0.58	0.09
33	2.79	1.16	0.54
34	0.81	0.47	0.07
35	1.74	1.28	0.56
36	2.33	1.63	0.51
37	1.05	0.93	0.39
38	0.81	0.93	0.15
39	1.86	1.05	0.53
40	1.05	0.47	0.07
41	1.98	1.05	0.16
42	1.28	1.16	0.47
44	0.47	0.47	0.03
45	2.44	1.51	0.97
46	1.86	1.40	2.23
