Имя файла 	 Обнаружено дефектов 	 Общая площадь дефектов,кв.см. 	 Средняя площадь дефекта,кв.см. 	Общая длина дефектов	 Настройки HSV нижние - HSV верхние 
Sludyanka_15-08-23_Uch6_03.txt	33	8.34	0.25	33.57	 0 30 150 180 200 219
Номер дефекта	Длина	Ширина	Площадь
9	0.36	0.36	0.04
10	0.48	0.48	0.04
11	0.36	0.48	0.04
12	0.72	0.60	0.08
13	0.48	0.48	0.06
14	0.84	0.72	0.06
15	1.08	0.84	0.16
16	1.31	0.84	0.16
17	1.91	1.67	0.70
18	1.31	0.72	0.11
19	1.19	0.84	0.32
20	0.48	0.48	0.04
21	0.84	0.60	0.06
22	2.15	1.43	0.45
23	0.48	0.60	0.04
24	2.03	0.84	0.34
25	0.60	0.36	0.04
26	1.91	1.08	0.58
27	1.19	1.19	0.29
28	0.36	0.48	0.05
29	0.48	0.36	0.04
30	0.48	0.36	0.06
31	2.27	1.31	0.49
32	1.79	1.19	0.35
33	0.60	0.72	0.05
34	0.48	0.60	0.09
35	0.84	0.60	0.19
36	0.96	0.72	0.07
37	0.96	0.96	0.09
38	0.60	0.36	0.04
39	0.48	0.36	0.04
40	1.79	1.08	1.60
41	1.79	1.08	1.60
