Имя файла 	 Обнаружено дефектов 	 Общая площадь дефектов,кв.см. 	 Средняя площадь дефекта,кв.см. 	Общая длина дефектов	 Настройки HSV нижние - HSV верхние 
Sludyanka_15-08-23_Uch6_04.txt	28	19.09	0.68	36.65	 0 0 0 230 240 230
Номер дефекта	Длина	Ширина	Площадь
2	0.47	0.47	0.05
3	0.59	0.59	0.11
5	0.59	0.47	0.07
7	0.36	0.47	0.06
8	0.71	0.71	0.04
10	1.19	0.95	0.27
11	0.59	0.59	0.08
12	0.47	0.71	0.06
13	1.42	0.83	0.34
14	1.19	0.71	0.16
15	0.95	1.19	0.25
16	0.95	0.83	0.19
17	1.07	0.71	0.09
18	0.47	0.71	0.04
19	1.78	1.07	0.43
20	0.83	0.47	0.04
21	1.78	1.07	0.34
22	2.02	0.71	0.23
23	0.59	0.59	0.11
25	0.71	0.71	0.08
26	1.30	0.71	0.27
27	1.78	1.30	0.41
28	0.95	0.71	0.14
30	1.42	0.59	0.23
31	2.37	1.42	2.94
32	2.49	1.90	4.22
33	4.86	1.19	5.07
34	2.73	1.19	2.79
